Geolocation,Name,Description,Address,Landline,Mobile,Website,Email,Borough,Category,Products repaired,Authorised repairer,Qualifications,Independent review link,Other review link,Positive review %,Warranty offered,Pricing information
"51.541457, 0.148869","Timpson (Dagenham, The Mall)",Shoe care booths offering on-site phone repairs (screen and battery replacement) and off-site tablet repairs.  At least 10 locations in the area.,"24 The Mall, Heathway, Dagenham, RM10 8RE",020 8595 5810,,https://www.timpson.co.uk/stores/dagenham-the-mall/,,Barking and Dagenham,Electronic gadgets,"Phone (iPhone, Samsung S3-S6) (screen and battery replacement), Tablet (iPad)",,,https://uk.trustpilot.com/review/www.timpson.co.uk,,26%,"""All of our repairs are completed using top quality parts and come with a 12 month guarantee."" from website",No data. Each branch sets own pricing
"51.593676, 0.218558",Timpson (Gallows Corner),Shoe care booths offering on-site phone repairs (screen and battery replacement) and off-site tablet repairs.  At least 10 locations in the area.,"Tesco, Bryant Avenue, RM3 0LL",01708 370833,,https://www.timpson.co.uk/stores/romford-gallows-bryant-avenue/,,Havering,Electronic gadgets,"Phone (iPhone, Samsung S3-S6) (screen and battery replacement), Tablet (iPad)",,,https://uk.trustpilot.com/review/www.timpson.co.uk,,26%,"""All of our repairs are completed using top quality parts and come with a 12 month guarantee."" from website",No data. Each branch sets own pricing
"51.565798, 0.191864",Timpson (Hornchurch Road),Shoe care booths offering on-site phone repairs (screen and battery replacement) and off-site tablet repairs.  At least 10 locations in the area.,"Tesco, 300 Hornchurch Road, RM11 1PY",01708 769336,,https://www.timpson.co.uk/stores/romford-hornchurch-road/,,Havering,Electronic gadgets,"Phone (iPhone, Samsung S3-S6) (screen and battery replacement), Tablet (iPad)",,,https://uk.trustpilot.com/review/www.timpson.co.uk,,26%,"""All of our repairs are completed using top quality parts and come with a 12 month guarantee."" from website",No data. Each branch sets own pricing
"51.566641, 0.111763",Timpson (Romford High Road),Shoe care booths offering on-site phone repairs (screen and battery replacement) and off-site tablet repairs.  At least 10 locations in the area.,"Tesco, 822 High Road, Romford, RM6 4HY",020 8599 3517,,https://www.timpson.co.uk/stores/romford-high-road/,,Redbridge,Electronic gadgets,"Phone (iPhone, Samsung S3-S6) (screen and battery replacement), Tablet (iPad)",,,https://uk.trustpilot.com/review/www.timpson.co.uk,,26%,"""All of our repairs are completed using top quality parts and come with a 12 month guarantee."" from website",No data. Each branch sets own pricing
"51.579590, 0.183651",Timpson (Romford),Shoe care booths offering on-site phone repairs (screen and battery replacement) and off-site tablet repairs.  At least 10 locations in the area.,"Kiosk 1, Laurie Walk, Romford Shopping Centre, RM1 3RT",01708 760374,,https://www.timpson.co.uk/stores/romford-laurie-walk/,,Havering,Electronic gadgets,"Phone (iPhone, Samsung S3-S6) (screen and battery replacement), Tablet (iPad)",,,https://uk.trustpilot.com/review/www.timpson.co.uk,,26%,"""All of our repairs are completed using top quality parts and come with a 12 month guarantee."" from website",No data. Each branch sets own pricing
"51.593514, 0.024036",Timpson (South Woodford),Shoe care booths offering on-site phone repairs (screen and battery replacement) and off-site tablet repairs.  At least 10 locations in the area.,"Sainsbury's, 176 George Lane, E18 1AY",020 8989 6295,,https://www.timpson.co.uk/stores/sainsbury's-south-woodford/,,Redbridge,Electronic gadgets,"Phone (iPhone, Samsung S3-S6) (screen and battery replacement), Tablet (iPad)",,,https://uk.trustpilot.com/review/www.timpson.co.uk,,26%,"""All of our repairs are completed using top quality parts and come with a 12 month guarantee."" from website",No data. Each branch sets own pricing
"51.544024, -0.008865",Timpson (Stratford Westfield),Shoe care booths offering on-site phone repairs (screen and battery replacement) and off-site tablet repairs.  At least 10 locations in the area.,"7 Lower Ground Floor, Westfield, Stratford City, E15 1QA",020 8534 1509,,https://www.timpson.co.uk/stores/stratford-westfield/,,Newham,Electronic gadgets,"Phone (iPhone, Samsung S3-S6) (screen and battery replacement), Tablet (iPad)",,,https://uk.trustpilot.com/review/www.timpson.co.uk,,26%,"""All of our repairs are completed using top quality parts and come with a 12 month guarantee."" from website",No data. Each branch sets own pricing
"51.604478, 0.047159",AND Sales Repairs,Domestic Appliance Services - Sales & Repairs,"530 Chigwell Rd, Woodford Green IG8 8PA",020 8505 5777,,http://www.andsalesrepairs.co.uk/,info@andsalesrepairs.co.uk,Redbridge,Kitchen and household,"Washing machine, tumble dryer, dishwasher, fridge, freezer, cooker, hob, microwave, waste disposal, vaccum cleaner",,,"https://www.google.co.uk/maps/place/A.N.D.+Domestic+Appliance+Services+-+Sales+%26+Repairs/@52.1308233,0.1060747,9z/data=!4m10!1m2!2m1!1sand+sales+repairs!3m6!1s0x0:0xc6be86f1efee498a!8m2!3d51.6044783!4d0.0472069!9m1!1b1",,40%,"""Our labour is guaranteed for 3 months from the date of repair""",No data
"51.5613892,0.0758227",Colourvision Colourtronics,Electronic repair centre,"123-125 Ley Street, Ilford, Essex IG1 4BH",020 8478 8580,,http://www.colourtronics.com/,info@colourtronics.com,Redbridge,Home entertainment,"TV, VCR, DVD, HiFi, Audio Equipment, Microwave,  Desktop, Laptop, Phones, Cameras, Camcorders, MP3 players, ",Samsung,,"https://www.google.co.uk/maps/place/Colourvision+Colourtronics+Ltd/@51.5613892,0.0758227,15z/data=!4m14!1m6!3m5!1s0x0:0x883dc5b272d2a95d!2sColourvision+Colourtronics+Ltd!8m2!3d51.5613892!4d0.0758227!3m6!1s0x0:0x883dc5b272d2a95d!8m2!3d51.5613892!4d0.0758227!9m1!1b1",,50%,"""We offer a guarantee on all work carried out by our engineers"" from website",No data
"51.544090, -0.006823","Apple Store, Stratford, Genius Bar",Genius bar is repair/advice service,"Westfield Stratford City, The Arcade, Westfield Stratford City, London E20 1EQ",020 8277 2200,,http://www.apple.com/uk/retail/stratfordcity/,No,Newham,Electronic gadgets,"Computer (Mac), Phone (iPhone), Tablet (iPad), iPod, TV",Apple,,"https://www.google.co.uk/maps/place/Apple+Stratford+City/@51.54409,-0.00681,15z/data=!3m1!5s0x48761d6442ebbfc7:0x2b1ebed02c1a4970!4m7!3m6!1s0x0:0x67a1e75d4c23988c!8m2!3d51.54409!4d-0.00681!9m1!1b1",,60%,"""Apple warrants (1) that the service will be performed with all reasonable skill and care and (2) that, for a period of ninety (90) days from the date of service, all parts used to service your product will be free from defects in materials and workmanship, unless otherwise specified by Apple. Apple further warrants, to the extent permitted by law, that batteries installed as part of Apple’s battery replacement service for Apple portable Mac computers will be free from defects in materials and workmanship for one (1) year from the date of service. In the event of breach of the warranty in this section 5, Apple will either (i) re-perform the service, (ii) repair or replace the part, or (iii) refund the cost of the service provided. In order to claim under the warranty you must return your product to the store where you left your product for service."" From website see http://www.apple.com/uk/legal/sales-support/terms/repair/Retail_Repair_UK_Terms_Conditions.html",No data
"51.562363, 0.068225",Talk & Surf,Internet cafe,"126 Cranbrook Rd, Ilford IG1 4LZ",020 8554 1400,,None,No,Redbridge,Electronic gadgets,"Phone, Laptop, Desktop",,,"https://www.google.co.uk/maps/place/Talk+%26+Surf/@51.5622998,0.0677798,17.08z/data=!4m7!3m6!1s0x0:0x2999ad6886c9259!8m2!3d51.562361!4d0.0682456!9m1!1b1",,60%,No data,No data
"51.5624269,0.0676759",Instant iPhone repair,"Repair specialist: Apple iPhone, Samsung Phone, Apple iPad, Apple iPod","175 Cranbrook Road, Ilford, IG1 4TA",020 7998 9338,07553 874876,http://www.instantiphonerepair.co.uk/,info@instantiphonerepair.co.uk,Redbridge,Electronic gadgets,"Phone (iPhone, Samsung), Tablet (iPad), Apple iPod",No,,"https://www.google.co.uk/maps/place/Instant+iPhone+Repair/@51.5624938,0.0676624,15z/data=!4m7!3m6!1s0x0:0x5d17537806bc2aa2!8m2!3d51.5624938!4d0.0676624!9m1!1b1",,66%,"""All our repairs are covered by a 3 month warranty."" from website",See website
"51.578698, 0.183950","Stormfront, Romford",Apple repairs,"11 East Mall, Liberty Shopping Centre, Romford, RM1 3RL",01708 764890,,https://www.stormfront.co.uk/contact/store/Romford,shop@romford.stormfront.co.uk,Havering,Electronic gadgets,"Computer (Mac), Phone (iPhone), Tablet (iPad), iPod, TV",Apple,,https://www.facebook.com/StormfrontRomford/reviews/,,70%,"""Fully accredited to carry out warranty repairs for all Apple computers""","""£50 diagnosis charge, £90 fixed labour charge for Mac repairs"" from website"
"51.578084, 0.180713",MCX,Mobile and Computer Exchange,"9 South St, Romford RM1 1NJ",01708 755099,,http://www.webuysellrepair.com/,,Havering,Computers and Home Office,"Desktop, Laptop, Phone",No,,"https://www.google.co.uk/maps/place/MCX+Mobile+%26+Computer+Exchange/@51.5781045,0.1807146,16.08z/data=!4m7!3m6!1s0x0:0x2f72e75ae088326a!8m2!3d51.5780834!4d0.1807146!9m1!1b1",,72%,"""30 days warranty"" by phone",No data
"51.538794, 0.051031",Geek Squad Tech Agent East Ham,"Mobile phone repairs, off-site","2-3 Station Parade, East Ham E6 1JD",0843 538 0427,,http://www.geeksquad.co.uk/,No,Newham,Electronic gadgets,Phone,http://www.geeksquad.co.uk/services/repairs/mobile-phone/manufacturer-details,,https://uk.trustpilot.com/review/www.geeksquad.co.uk,,76%,"""90 day guarantee"" from website","""No obligation quotes"" from website"
"51.560272, 0.072084",Geek Squad Tech Agent Ilford,"Mobile phone repairs, off-site","Unit 36, The Exchange Mall, High Road, Ilford IG1 1DS,",0843 538 0167,,http://www.geeksquad.co.uk/,No,Redbridge,Electronic gadgets,Phone,http://www.geeksquad.co.uk/services/repairs/mobile-phone/manufacturer-details,,https://uk.trustpilot.com/review/www.geeksquad.co.uk,,76%,"""90 day guarantee"" from website","""No obligation quotes"" from website"
"51.541482, 0.000747",Geek Squad Tech Agent Stratford Centre,"Mobile phone repairs, off-site","Stratford Centre, 81 The Mall, Stratford E15 1XQ",0843 538 1450,,http://www.geeksquad.co.uk/,No,Newham,Electronic gadgets,Phone,http://www.geeksquad.co.uk/services/repairs/mobile-phone/manufacturer-details,,https://uk.trustpilot.com/review/www.geeksquad.co.uk,,76%,"""90 day guarantee"" from website","""No obligation quotes"" from website"
"51.544106, -0.007397",Geek Squad Tech Hub Westfield Stratford City,"Mobile phone repairs, on-site","Westfield Stratford City, Stratford, E15 2JU",0843 538 1950,,http://www.geeksquad.co.uk/,No,Newham,Electronic gadgets,Phone,http://www.geeksquad.co.uk/services/repairs/mobile-phone/manufacturer-details,,https://uk.trustpilot.com/review/www.geeksquad.co.uk,,76%,"""90 day guarantee"" from website","""No obligation quotes"" from website"
"51.578579, 0.183531","Geek Squad, Carphone Warehouse, Romford","Mobile phone repairs, off-site","The Liberty, Mercury Gardens, Unit 21, The Liberty, Romford RM1 3RL",0843 538 0349,,http://www.geeksquad.co.uk/,No,Havering,Electronic gadgets,Phone,http://www.geeksquad.co.uk/services/repairs/mobile-phone/manufacturer-details,,https://uk.trustpilot.com/review/www.geeksquad.co.uk,,76%,"""90 day guarantee"" from website","""No obligation quotes"" from website"
"51.5826855,0.1756099",Shen Computer Solution Ltd,Computer sales and repairs,"155 North Street, Romford, RM1 1ED",01708 750046,,http://www.scscomputer.co.uk/,scs@ scscomputer.co.uk,Havering,Computers and Home Office,"Desktop, Laptop, Apple Mac, ",No,,"https://www.google.co.uk/maps/place/Shen+Computer+Solutions+Ltd/@51.5826855,0.1756099,15z/data=!4m7!3m6!1s0x0:0x185b5310156ae7c4!8m2!3d51.5826855!4d0.1756099!9m1!1b1",,77%,"""At least 3 months warranty, up to 1 year on some items depnding on manufacturers warranty"" by phone",No data
"51.5122353,0.0261426",A & G Appliance Services,Domestic appliance repair,"21 Hartington Rd, London E16 3NP",020 7476 8725,07540 852102,http://ag-repairs.co.uk/,contact@ag-repairs.co.uk,Newham,Kitchen and household,"Washing machine, dishwasher, elecric oven, tumble dryer, fridge, freezer, microwave",No,,"https://www.google.co.uk/maps/place/A%26G+Appliances/@51.5122353,0.0261426,15z/data=!4m7!3m6!1s0x0:0xd2e2867d85035765!8m2!3d51.5122353!4d0.0261426!9m1!1b1",,80%,"""6 months warranty on the repair"" from website",Some prices shown on website
"51.553222, 0.247781",Click @,"Computer shop, repairs and service","103 Corbets Tey Rd, Upminster RM14 2AH",01708 641098,,No,No,Havering,Computers and Home Office,"Desktop, Laptop",No,,"https://www.google.co.uk/maps/place/Click+@/@51.5531649,0.2478032,19.54z/data=!4m7!3m6!1s0x0:0x72f9969e710fb15b!8m2!3d51.5532245!4d0.2477843!9m1!1b1",,80%,"""We offer 6 months warranty"" phone call.",No data
"51.603182, 0.090875",Edwards Office Supplies (Romford Computer Repairs),"Electronic repairs, on site service, collect and repair service, bring service","128 New North Road, Hainault, Essex IG6 2XW",020 8500 4466,,http://edwardsoffice.co.uk/,sales@edwardoffice.co.uk,Redbridge,Computers and Home Office,"Desktop, Laptop, Printer, Console, Apple Macbook, Apple iPad, Apple iPhone, Tablets, TV",No,,"https://www.google.co.uk/maps/place/romford+computer+repairs/@51.6031813,0.0891395,17z/data=!4m7!3m6!1s0x0:0x244ee9f2d50db987!8m2!3d51.6031839!4d0.0908753!9m1!1b1",,84%,"""3 months warranty on labour, manufacturer's warranty on parts 3 months to 1 year"" by phone","""No fix, no fee, free quotations"" from website"
"51.5639559,0.1887359",Ron's Repairs,Washing machine and tumble dryer repairs,"31 Upper Rainham Rd, Hornchurch RM12 4BE",01708 475770,,Hacked http://www.ronsrepairs.co.uk,No,Havering,Kitchen and household,"Washing machine, tumble dryer",,,"https://www.google.co.uk/maps/place/Ron's+Repairs/@51.5639559,0.1887359,15z/data=!4m14!1m6!3m5!1s0x0:0x5d5adbe7a4002ad3!2sRon's+Repairs!8m2!3d51.5639559!4d0.1887359!3m6!1s0x0:0x5d5adbe7a4002ad3!8m2!3d51.5639559!4d0.1887359!9m1!1b1",,86%,No data,No data
"51.577089, 0.179780",Dr Gadgets,Mobile phone repairs,"4, Brewery Shopping Centre, Romford RM1 1BG",01708 756600,,http://www.doctorgadgets.co.uk/,Contact form,Havering,Electronic gadgets,Phone,No,,"https://www.google.co.uk/maps/place/Dr.+Gadgets/@51.5780379,0.1757003,15z/data=!4m10!1m2!2m1!1s+!3m6!1s0x0:0xd15c2582aefc3b8!8m2!3d51.5770962!4d0.1797724!9m1!1b1",,87%,"""2 months warranty on repairs"" by phone",No data
"51.571568, 0.135422",Gadcet Chadwell Heath,Gadget Exchange. Apple and Samsung phone repairs.  Apple iPad repair,102 - 104 High Road Chadwell Heath Romford Essex RM6 6NX,020 8599 9601,,http://www.gadcet.com/221-repair,info@gadcet.com,Barking and Dagenham,Electronic gadgets,"Phone (Apple, Samsung), Tablet (iPad)",No,,"https://www.google.co.uk/maps/place/Gadcet+Chadwell+Heath/@51.5702363,0.0792044,12z/data=!4m10!1m2!2m1!1sgadcet!3m6!1s0x0:0x51dae593c99d7c3d!8m2!3d51.5715351!4d0.1354408!9m1!1b1",,89%,"""All repairs carried out by us and our repair centres come with a 4 weeks to 3 months warranty dependant on the repair. This excludes any damage caused by the user. Any repair warranty becomes void if you cannot show us the repair receipt."" from website","""All repairs quoted online are estimated based on the information you provide us. If there are any further problems discovered, your repair price may increase. We will contact you by phone or email for further verification. No Fix No Fee: If your repair could not be carried out or cannot be completed, you will not be charged."" From website"
"51.550982, 0.047857",Gadgets World,Gadget exchange,"709 Romford Road, Manor Park, E125AW",020 8911 0911,,http://farhan39.wixsite.com/gadgetsworld,sales@gadgetsworldltd.com,Newham,Electronic gadgets,"Phone, Laptop, Desktop, iPad, Console",No,,"https://www.google.co.uk/maps/place/Gadgets+World+LTD/@51.5509821,0.0478999,15z/data=!4m7!3m6!1s0x0:0x8ed6f0d48cdf70ec!8m2!3d51.5509821!4d0.0478999!9m1!1b1",,89%,"""3 months warranty on repairs"" by phone",No data
"51.607536,0.119255",Quick Mobile Fix,Phone repair specialist,"41-43 Roebuck Road, Hainault Business Park, Ilford, IG6 3TU",020 8500 0308,,https://www.quickmobilefix.com/,customersupport@quickmobilefix.com,Redbridge,Electronic gadgets,"Smartphones: Apple, Samsung, Sony, Nokia, HTC, LG, Nexus, Motorola, Blackberry, Huawei",No,,https://uk.trustpilot.com/review/www.quickmobilefix.com,,90%,"""All repairs (with the exception of software related, battery and water damaged devices) come with a 12 month warranty. Battery related repairs comes with 3 months warranty. This excludes faults relating to physical or accidental damage or if the device is opened whilst in your possession. If the nature of the repair falls outside the terms of your warranty or guarantee, then you may incur a charge for the repair. Our warranty does not cover repairs on Wifi Faults on the iPhone 4 and 4S."" From website","See website, payment in advance"
"51.573241, 0.063573",KDS Appliances,Repair service for all domestic appliances,"33-35 Beehive Lane, Ilford, IG1 3RG",020 8518 1988,,http://www.kdsappliances.co.uk/,warren.kdsltd@gmail.com,Redbridge,Kitchen and household,"Electrically powered appliances, not refrigerators or gas-powered appliances",No,,"https://www.google.co.uk/maps/place/KDS+Appliances+Ltd/@51.5732412,0.0635749,15z/data=!4m7!3m6!1s0x0:0x6e3bfadab9ab2866!8m2!3d51.5732412!4d0.0635749!9m1!1b1",,92%,"""3 months to 1 year depending on manufacturer"" by phone",No data
"51.577843, 0.099535",Computer Clinic,"Computer repairs, screen replacement","990 Eastern Avenue, Newbury Park Ilford, Essex IG2 7JD. ",020 8597 9764,07985 700199,http://www.computerclinicuk.com/,No,Redbridge,Computers and Home Office,"Desktop, Laptop, Tablet (iPad screen replacement)",No,,"https://www.google.co.uk/maps/place/Computer+Clinic+UK/@51.577851,0.099562,15z/data=!4m7!3m6!1s0x0:0x1b434ea75500a6a0!8m2!3d51.577851!4d0.099562!9m1!1b1",,93%,"""I year on new parts, no warranty for used parts"" by phone","""No fix no fee"" from website"
"51.561256, 0.068983",Compushop,Computer shop,"101 Cranbrook Rd, Ilford IG1 4PU",020 8553 3362,,thecompushop.com,info@thecompushop.com,Redbridge,Computers and Home Office,"Desktop, Laptop, Phone (Apple iMac, Macbook, iPhone, iPad)",No,,"https://www.google.co.uk/maps/place/Compushop+Ltd./@51.5612528,0.068981,15z/data=!4m7!3m6!1s0x0:0x101490ad166a994c!8m2!3d51.5612528!4d0.068981!9m1!1b1",,100%,"""At least 3 months warranty, up to 1 year on some items depnding on manufacturers warranty"" by phone",No data
"51.592168, 0.027062",Computer Repair Ltd,Computer repairs,"96 George Lane, E18 1AD",020 7018 1470,07904 638378,http://www.computerrepairltd.co.uk/,info@computerrepairltd.co.uk,Redbridge,Computers and Home Office,"Desktop, Laptop, Apple Mac, Macbook, iMac",No,,http://www.freeindex.co.uk/profile(computer-repair-ltd)_550311.htm,,100%,"""Warranty depends on the part, minimum 3 months"" by phone","""Free, no obligation quote."" from website"
"51.549036, 0.200291",Console Clinic,Games console repairs,"6 Tadworth Parade, Elm Park, RM12 5AS",,07851 610895,http://www.console-clinic.com/,repairs@console-clinic.com,Havering,Home entertainment,"Console (Xbox, Playstation, Nintendo), iPad, iPhone, iPod",No,,http://www.freeindex.co.uk/profile(console-clinic-ltd)_378985.htm,,100%,"""3 months on most repairs, 6 months on bought second hand items. 1 year warranty on genuine parts. 2 years on items bought from certain companies via console clinic limited."" by email",No data
"51.5626423, 0.266299",Cranham Computer Centre,Computer and phone repairs,"89 Front Lane, Cranham, Essex, RM14 1XN.",01708 250296,,http://www.cranhamcomputercentre.co.uk/,info@cranhamcomputercentre.co.uk,Havering,Computers and Home Office,"Desktop (Mac), Laptop, Phone (iPhone, Samsung), Tablet (iPad), Console (Xbox, Playstation), Apple iPod,",No,,https://www.facebook.com/Cranham-Computer-Centre-125818447453697/reviews,,100%,No data,"""Repairs from £25"" from website"
"51.567636, 0.215936",Essex PC Fix,"PC and Laptop repairs, mobile service, collect and repair service","33 Cromer Road, Hornchurcch, RM11 1EY",01708 444480,07866 395831,http://www.essexpcfix.co.uk/,info@essexpc.co.uk,Havering,Computers and Home Office,"Desktop, Laptop (not Mac)",No,,https://www.yell.com/biz/essex-pc-fix-hornchurch-5589472/#reviews,http://www.essexpcfix.co.uk/testimonials.php,100%,"""Warranty depends on the part, minimum 3 months"" by phone","""Free quotations. Pricing based on agreed estimate at £25/hour. Some fixed-fee prices. Diagnosis fee £30 or call-out fee £50 chargeable if repair declined.  No visit fee for home repairs within 8 miles of Hornchurch."" from website"
"51.5503563, 0.1989772",Hans Electric,"Vacuum cleaner servicing and repairs, family-run business since 1966","22 The Broadway, RM12 4RW",01708 446060,,http://www.hanselectric.co.uk/,mail@hanselectric.co.uk,Havering,Kitchen and household,Vacuum cleaner,No,,https://www.facebook.com/HansElectric/reviews/,"https://www.google.co.uk/maps/place/Hans+Electric+Ltd/@51.5503563,0.1989772,15z/data=!4m7!3m6!1s0x0:0x6325ee7eacc538a1!8m2!3d51.5503563!4d0.1989772!9m1!1b1",100%,"""6 months warranty on all parts and labour"" by phone","""£5 deposit, agreed price limit"" from website"
"51.605813, 0.232658",Harold Hill Computer Repairs,Computer repairs,"70 Petersfield Avenue, Harold Hill, RM3 9PD",,07931 300301,http://www.haroldhillcomputerrepairs.co.uk/,help@haroldhillcomputerrepairs.co.uk,Havering,Computers and Home Office,Desktop,No,,http://www.freeindex.co.uk/profile(harold-hill-computer-repairs)_465812.htm,,100%,No data,"""Fixed price repairs from £30. No fix, no fee"" from website"
"51.593083, 0.183494",Havering Computer Services,"Computer and laptop repairs, mobile service","22 Pettits Boulevard, Romford, RM1 4PL",01708 874935,07870 490080,http://www.hcs-uk.co.uk/,enquiries@hcs-uk.co.uk,Havering,Computers and Home Office,"Desktop, Laptop",No,,"https://www.google.co.uk/maps/place/Havering+Computer+Services/@51.574822,0.183259,15z/data=!4m7!3m6!1s0x0:0xf2ec0e108c89d61!8m2!3d51.574822!4d0.183259!9m1!1b1",http://www.hcs-uk.co.uk/testimonials.html,100%,No data,See website
